id_imovel,uf,cidade,bairro,endereco,cep,tipo_imovel,quartos,area_m2,preco_venda,valor_avaliacao,desconto_pct,modalidade,descricao,url_detalhe,url_foto,link, 10005121 ,AC ,CRUZEIRO DO SUL ,BAIRRO COHAB ,"RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ","67.957,93","150.000,00",54.70,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121,UF_origem,"	var __uzdbm_2 = ""MTVjODFhNzYtYzRvMy00MzM2LWI5MWYtM2JhNzY4OTNjZTk4JDEzNS4yMzIuMjAxLjI0MA==""",Unnamed: 1,"	var __uzdbm_2 = ""MzIyMzcwMzctYzRvMy00NzkwLThiOWQtOGE0ZTZjOGVmNjcwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NTQxZjk3NmEtYzRvMy00ZWM4LWJiNWEtMjNhMzQ3MDAyZjAyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""YTc4Yjc0OGEtYzRvMy00MzI2LTliYTAtMTVlYjczZWM4OGIyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MGZmZmFjOGYtYzRvMy00YTFmLTgyMGYtM2M0YmM1ODlhMDkxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NmI1NDBkZGQtYzRvMy00ZTA3LTliNmUtYjljZTFjYzQ3MDQ2JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ODJkOTFkYzMtYzRvMy00NDE1LTlmMGQtZmJjZDcxNmQwZTA5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NjcwYWJiNDMtYzRvMy00NWJlLWFmZTMtODhiMDMxZDRhMmYxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MTlmZTg4MjItYzRvMy00MzVhLWE3MDMtYjNhYjBmOWNlMmRlJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NzQ4N2ZjYTgtYzRvMy00NjY0LWE4M2EtOGI5NTRmYjY4MzAwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NTU5YmVmY2YtYzRvMy00YmZmLWEyMzYtNTZhMjg0ZjBlN2E4JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MTc2MzZjNDEtYzRvMy00ODE4LWE0Y2UtZGJhNmI3NmM1ZmJmJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NzZkNTdiY2ItYzRvMy00NzUwLWJjMTEtNTc0OTk2MmZlMjE0JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MmRjNzgzMzAtYzRvMy00ZGU3LTlmMzItOGE4MzJiOGYyNDYwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NWI2OGE3NGUtYzRvMy00MDBhLThiYTItNWI5ZTkxY2Q2NTQyJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""OWIwYjc0OTQtYzRvMy00ZmIwLWEyNTctZTVjY2RhMDY5NzI3JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""YzAwYmVkNDUtYzRvMy00MDc4LWIxOGQtNTRiZmRkNzA1YmNlJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MDhlZjA4MDgtYzRvMy00MjAzLTk5MjctY2FmMmQ5MmFlZmU5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NDY4ZTllZDUtYzRvMy00NjFlLWJkZWYtYTc3YTYyMGIyYThjJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZWVkZDVmODktYzRvMy00MTM5LThkODctYjZhNjViMWU1NmMwJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MGY5YmIzNjgtYzRvMy00MTRjLTk3MTYtM2M0Yjc2NjVkNGMzJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZGNlOWU2NzUtYzRvMy00MTNkLThkN2UtMjgxZjk2M2YxMTc0JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""Y2RjY2Q2M2EtYzRvMy00OTE5LTg1NmItODg4Y2ZjZDViNjMzJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""MDJkZmY4MWMtYzRvMy00N2M1LTkxMDYtZjhlZGVlMTUzZjY5JDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""ZWRhYzBhYTItYzRvMy00ZTExLWJhZGEtODJmNWJkMmY2NmUxJDEzNS4yMzIuMjAxLjI0MA==""","	var __uzdbm_2 = ""NGFjNDRkYmYtYzRvMy00MWY2LWEyMDQtMjdkZDhlZjBjZTU2JDEzNS4yMzIuMjAxLjI0MA==""",desconto
,,,,,,Outro,,,,,,,,,,, 1444405129400 ,AC ,RIO BRANCO ,NOVO HORIZONTE ,"RUA ADEMAR DE BARROS, N. 74, ","228.859,56","378.000,00",39.46,Não,"Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1555528608775 ,AC ,RIO BRANCO ,ABRAAO ALAB ,"RUA ARI RODRIGUES, N. SN, ","192.628,24","310.000,00",37.87,Sim,"Terreno, 0.00 de área total, 0.00 de área privativa, 630.00 de área do terreno.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528608775,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444405651913 ,AC ,RIO BRANCO ,CONJUNTO OURICURI ,"RUA EMA, N. SN, LT 11 QD 38A ","195.113,77","314.000,00",37.87,Não,"Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405651913,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444403168387 ,AC ,RIO BRANCO ,Santo Afonso I ,"R RAIMUNDO P DE MORAES, N. 14, LT 14 QD 55 ","216.686,86","340.000,00",36.27,Sim,"Casa, 0.00 de área total, 138.20 de área privativa, 400.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403168387,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444409370650 ,AC ,RIO BRANCO ,LOT SANTO AFONSO I ,"RUA NONATO CORREIA LIMA, N. SN, QD40 LT16 ","265.760,06","417.000,00",36.27,Sim,"Casa, 129.42 de área total, 129.42 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409370650,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1555526252809 ,AC ,RIO BRANCO ,PARQUE DOS SABIAS ,"RUA PALERMO, N. 49, QD02 CS49 ","242.816,75","381.000,00",36.27,Não,"Casa, 0.00 de área total, 70.85 de área privativa, 149.80 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526252809,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444411609940 ,AC ,RIO BRANCO ,LOTEAMENTO JAGUAR ,"RUA PINTASSILGO, N. SN, QD15 LT29 ","241.542,12","379.000,00",36.27,Sim,"Casa, 115.93 de área total, 115.93 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411609940,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444400373710 ,AC ,RIO BRANCO ,HABITASA ,"RUA PERU, N. 24, QDF LT24 ","154.230,06","242.000,00",36.27,Não,"Casa, 140.78 de área total, 233.18 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400373710,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 1444405193516 ,AC ,RIO BRANCO ,NOVA ESPERANCA ,"RUA BENZINHO, N. S/N, QD 05 - LT 09 ","260.024,23","408.000,00",36.27,Não,"Casa, 163.83 de área total, 163.83 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405193516,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Outro,,,,,,,,,,, 8444410362442 ,AC ,RIO BRANCO ,MOCINHA MAGALHAES ,"RUA DA PITANGA, N. 317, ","165.064,40","259.000,00",36.27,Não,"Casa, 143.95 de área total, 143.95 de área privativa, 283.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410362442,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
